"REGION","COUNTRY","LIFEEXP","ILLITERATE","POP","FERTILITY","PRIVATEHEALTH","PUBLICEDUCATION","HEALTHEXPEND","BIRTHATTEND","PHYSICIAN","SMOKING","RESEARCHERS","GDP","FEMALEBOSS","lnHEALTH"
4,"Afghanistan",42.9,72,25.1,7.5,3.7,4.6,19,14,19,32,848,7.3,30,1.30833281965018
7,"Albania",76.2,1.3,3.2,2.2,3.7,2.9,339,98,131,60,848,8.4,30,1.30833281965018
1,"Algeria",71.7,30.1,32.9,2.5,1,4.6,167,96,113,32,848,102.3,30,0
6,"Angola",41.7,32.6,16.1,6.8,0.4,2.6,38,45,8,32,848,32.8,30,-0.916290731874155
3,"Antigua<a0>and<a0>Barbuda",73.9,14.2,0.1,2.7,1.4,3.8,516,100,17,32,848,0.9,45,0.336472236621213
3,"Argentina",74.8,2.8,38.7,2.4,5.3,3.8,1274,99,301,32,720,183.2,33,1.66770682055808
7,"Armenia",71.7,1,3,1.3,4,3.2,226,98,359,62,848,4.9,30,1.38629436111989
8,"Australia",80.9,1,20.3,1.8,3.1,4.7,3123,100,247,19,3759,732.5,37,1.1314021114911
8,"Austria",79.4,1,8.3,1.4,2.5,5.5,3418,100,338,32,2968,306.1,27,0.916290731874155
7,"Azerbaijan",67.1,1.2,8.4,1.7,2.7,2.5,138,88,355,32,848,12.6,30,0.993251773010283
3,"Bahamas",72.3,10.1,0.3,2.1,3.4,3.6,1349,99,105,32,848,5.5,46,1.22377543162212
1,"Bahrain",75.2,13.5,0.7,2.5,1.3,4.6,871,98,109,15,848,12.9,30,0.262364264467491
4,"Bangladesh",63.1,52.5,153.3,3.2,2.2,2.5,64,13,26,55,51,60,23,0.78845736036427
3,"Barbados",76.6,10.1,0.3,1.5,2.6,6.9,1151,100,121,32,848,3.1,43,0.955511445027436
7,"Belarus",68.7,1,9.8,1.2,1.6,6,427,100,455,53,848,29.6,30,0.470003629245736
8,"Belgium",78.8,1,10.4,1.6,2.8,6.1,3133,100,449,30,3065,370.8,32,1.02961941718116
3,"Belize",75.9,24.9,0.3,3.4,2.4,5.4,339,83,105,32,848,1.1,41,0.8754687373539
6,"Benin",55.4,65.3,8.5,5.9,2.4,3.5,40,66,4,32,848,4.3,30,0.8754687373539
4,"Bhutan",64.7,53,0.6,2.9,1.6,5.6,93,37,5,32,848,0.8,30,0.470003629245736
3,"Bolivia",64.7,13.3,9.2,4,2.7,6.4,186,67,122,32,120,9.3,36,0.993251773010283
7,"Bosnia<a0>and<a0>Herzegovina",74.5,3.3,3.9,1.3,4.2,4.6,603,100,134,49,848,9.9,30,1.43508452528932
6,"Botswana",48.1,18.8,1.8,3.2,2.4,10.7,504,94,40,32,848,10.3,33,0.8754687373539
3,"Brazil",71.7,11.4,186.8,2.3,4,4.4,1520,97,115,22,344,796.1,34,1.38629436111989
2,"Brunei<a0>Darussalam",76.7,7.3,0.4,2.5,0.6,4.6,621,99,101,32,274,6.4,26,-0.510825623765991
7,"Bulgaria",72.7,1.8,7.7,1.3,3.4,4.2,671,99,356,44,1263,26.6,34,1.22377543162212
6,"Burkina<a0>Faso",51.4,76.4,13.9,6.4,2.8,4.7,77,38,5,32,17,5.2,30,1.02961941718116
6,"Burundi",48.5,40.7,7.9,6.8,2.4,5.1,16,25,3,32,848,0.8,30,0.8754687373539
2,"Cambodia",58,26.4,14,3.6,5,1.9,140,32,16,32,848,6.2,14,1.6094379124341
6,"Cameroon",49.8,32.1,17.8,4.9,3.7,1.8,83,62,19,32,848,16.9,30,1.30833281965018
8,"Canada",80.3,1,32.3,1.5,3,5.2,3173,98,214,22,3597,1113.8,36,1.09861228866811
6,"Cape<a0>Verde",71,18.8,0.5,3.8,1.3,6.6,225,89,49,32,127,1,30,0.262364264467491
6,"Central<a0>African<a0>Republic",43.7,51.4,4.2,5,2.6,4.6,54,44,8,32,47,1.4,30,0.955511445027436
6,"Chad",50.4,74.3,10.1,6.5,2.7,2.1,42,14,4,32,848,5.5,30,0.993251773010283
3,"Chile",78.3,4.3,16.3,2,3.2,3.5,720,100,109,48,444,115.2,25,1.16315080980568
2,"China",72.5,9.1,1313,1.7,2.9,1.9,277,97,106,67,708,2234.3,17,1.06471073699243
3,"Colombia",72.3,7.2,44.9,2.5,1.1,4.8,570,96,135,32,109,122.3,38,0.0953101798043249
6,"Comoros",64.1,10.1,0.8,4.9,1.2,3.9,25,62,15,32,848,0.4,30,0.182321556793955
6,"Congo",54,15.3,3.6,4.8,1.3,2.2,30,86,20,32,30,5.1,30,0.262364264467491
6,"Congo<a0>(Democratic<a0>Republic<a0>of<a0>the)",45.8,32.8,58.7,6.7,2.9,4.6,15,61,11,32,848,7.1,30,1.06471073699243
3,"Costa<a0>Rica",78.5,5.1,4.3,2.3,1.5,4.9,592,99,132,29,848,20,25,0.405465108108164
6,"C<f4>te<a0>d'Ivoire",47.4,51.3,18.6,5.1,2.9,4.6,64,68,12,32,848,16.3,30,1.06471073699243
7,"Croatia",75.3,1.9,4.6,1.3,1.5,4.7,917,100,244,34,1296,38.5,24,0.405465108108164
3,"Cuba",77.7,10.1,11.3,1.6,0.8,9.8,229,100,591,32,848,14.2,34,-0.22314355131421
