"GENDER","AGE","MARSTAT","EDUCATION","ETHNICITY","SMARSTAT","SGENDER","SAGE","SEDUCATION","NUMHH","INCOME","TOTINCOME","CHARITY","FACE","FACECVLIFEPOLICIES","CASHCVLIFEPOLICIES","BORROWCVLIFEPOL","NETVALUE"
1,30,1,16,3,2,2,27,16,3,43000,43000,0,20000,0,0,0,0
1,50,1,9,3,1,2,47,8,3,12000,0,0,130000,0,0,0,0
1,39,1,16,1,2,2,38,16,5,120000,90000,500,1500000,0,0,0,0
1,43,1,17,1,1,2,35,14,4,40000,40000,0,50000,75000,0,5,0
1,34,2,11,2,1,2,31,14,4,28000,0,0,220000,0,0,0,0
1,29,1,16,1,2,2,31,17,3,1e+05,84000,0,6e+05,0,0,0,0
1,72,1,17,1,2,2,70,14,2,112000,8460000,12000,1e+05,0,0,0,0
1,51,1,16,1,2,2,52,14,4,15000,3e+05,10000,2500000,2e+05,37000,1,3
1,58,0,14,1,0,0,0,0,1,32000,0,0,250000,0,0,0,0
1,73,1,12,2,2,2,65,16,2,25000,41000,1000,50000,0,0,0,0
1,35,2,12,2,1,2,31,12,6,40000,0,0,90000,40000,950,5,0
1,60,1,16,1,2,2,55,14,2,66000,66000,1200,10000,0,0,0,0
1,46,2,17,1,3,1,37,16,4,120000,196000,0,2e+06,5e+05,5000,5,0
0,43,0,13,2,0,0,0,0,3,13000,0,0,50000,0,0,0,0
1,50,1,17,1,2,2,49,16,2,2e+05,160000,3500,1500000,0,0,0,0
1,56,0,14,2,0,0,0,0,1,50000,0,0,150000,0,0,0,0
1,32,1,7,3,1,2,42,9,4,45000,45000,0,1e+05,0,0,0,0
0,64,0,13,1,0,0,0,0,1,42000,0,600,60000,10000,0,5,0
1,62,0,16,1,0,0,0,0,1,225000,0,4000,1100000,0,0,0,0
1,61,1,17,1,2,2,59,17,2,102000,357000,3400,30000,0,0,0,0
0,54,0,13,7,0,0,0,0,7,34000,0,1200,1e+05,0,0,0,0
0,60,0,17,1,0,0,0,0,1,70000,0,800,75000,75000,16000,5,0
1,30,1,17,1,2,2,31,17,2,270000,150000,2500,1e+06,1e+06,4000,5,0
